stair.thisTrialN	stair.stepSize	stair.intensity	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	corrAns	tilt	key_resp.corr	stair.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate	expStart
0	2	10	0.0098106		0.0029349	0.0098106	0.5096014	0.5096014	0.5096014	0.8087499	1.9134161	left	-10	1	1	1.383503	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
1	2	8	1.9252688		1.9136268	1.9252688	2.4409479	2.4246282	2.4246282	2.7238415	2.8423108	left	-8	1	1	0.4044812	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
2	2	6	2.8574342		2.8425286	2.8574342	3.3570371	3.3570371	3.3570371	3.6570887	3.7406274	left	-6	1	1	0.3755084	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
3	2	4	3.7569825		3.740766	3.7569825	4.2730244	4.2558578	4.2558578	4.5559425	4.6238121	left	-4	1	1	0.3563875	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
4	2	2	4.6390714		4.6240098	4.6390714	5.1386772	5.1386772	5.1386772	5.43843	5.5559255	right	2	1	1	0.4018032	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
5	2	1	5.5717352		5.5560799	5.5717352	6.0714413	6.0714413	6.0714413	6.3704504	6.4552476	right	1	1	1	0.3723587	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
6	2	1	6.4708386		6.4553913	6.4708386	6.9870521	6.9702724	6.9702724	7.2703326	7.6874053	right	1	1	1	0.7008842	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
7	1	1	7.7029322		7.6875627	7.7029322	8.2029476	8.1864564	8.1864564	8.4860545	9.2026582	right	1	0	0	1.0025034	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
8	1	2	9.2184229		9.2028221	9.2184229	9.7181194	9.7181194	9.7181194	10.0179536	10.901566	left	-2	1	1	1.1742947	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
9	1	2	10.9174425		10.9016993	10.9174425	11.4167205	11.4167205	11.4167205	11.7162545	12.0837388	right	2	1	1	0.6623923	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
10	1	2	12.0996327		12.0839192	12.0996327	12.5990597	12.5990597	12.5990597	12.8985665	12.9524128	left	-2	0	0	0.3482986	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
11	1	3	12.9660745		12.9526901	12.9660745	13.4819044	13.4660166	13.4660166	13.7812011	13.8825276	right	3	1	1	0.408811	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
12	1	3	13.8978498		13.8827424	13.8978498	14.3973414	14.3973414	14.3973414	14.6974414	15.1150505	right	3	1	1	0.7059862	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
13	1	3	15.1307785		15.1152159	15.1307785	15.6296822	15.6296822	15.6296822	15.929912	15.9987215	left	-3	1	1	0.3654088	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
14	1	2	16.0132588		15.9988526	16.0132588	16.512473	16.512473	16.512473	16.8123352	16.8131231	left	-2	1	1	0.2877007	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
15	0.5	2	16.8290758		16.8132845	16.8290758	17.3448882	17.3278729	17.3278729	17.6282082	17.6797799	right	2	0	0	0.3500542	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
16	0.5	2.5	17.6955038		17.679992	17.6955038	18.1942404	18.1942404	18.1942404	18.4948648	18.6282043	right	2.5	0	0	0.4248862	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
17	0.5	3	18.6439043		18.6283464	18.6439043	19.1434144	19.1434144	19.1434144	19.4432779	19.5608824	right	3	0	0	0.4009851	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
18	0.5	3.5	19.5769473		19.5610687	19.5769473	20.0770626	20.0601825	20.0601825	20.3593081	20.47709	left	-3.5	0	0	0.4062982	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
19	0.5	4	20.4925292		20.4772223	20.4925292	20.9927465	20.9927465	20.9927465	21.3081388	21.7099541	right	4	0	0	0.7145884	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
20	0.5	4.5	21.7249608		21.7101871	21.7249608	22.2244115	22.2244115	22.2244115	22.5242346	23.0910756	left	-4.5	1	1	0.8545898	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
21	0.5	4.5	23.1069725		23.0912412	23.1069725	23.6074533	23.589914	23.589914	23.8895132	24.0577141	left	-4.5	1	1	0.4586956	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
22	0.5	4.5	24.0725356		24.0579233	24.0725356	24.5731744	24.5731744	24.5731744	24.8720544	25.1069827	right	4.5	1	1	0.5167468	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
23	0.5	4	25.1220999		25.107205	25.1220999	25.6216668	25.6216668	25.6216668	25.9215189	26.0576814	left	-4	1	1	0.4192927	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
24	0.5	4	26.0725501		26.0578016	26.0725501	26.5874796	26.5714723	26.5714723	26.8705281	27.0061326	right	4	1	1	0.421982	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
25	0.5	4	27.0213667		27.0063671	27.0213667	27.5370742	27.5201633	27.5201633	27.81976	27.8716554	right	4	1	1	0.3502577	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
26	0.5	3.5	27.886961		27.8718024	27.886961	28.4028665	28.3860295	28.3860295		28.6532743	right	3.5	1	1	0.2515341	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
27	0.5	3.5	28.6690515		28.6534111	28.6690515	29.1687715	29.1524287	29.1524287		29.4202081	right	3.5	1	1	0.264862	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
28	0.5	3.5	29.4357705		29.4203403	29.4357705	29.9349108	29.9349108	29.9349108	30.2350999	30.2362572	left	-3.5	0	0	0.2891857	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
29	0.5	4	30.2511372		30.2364481	30.2511372	30.750845	30.750845	30.750845		30.985235	left	-4	0	0	0.224269	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
30	0.5	4.5	31.0011166		30.9853949	31.0011166	31.5175197	31.5004694	31.5004694	31.8002741	33.8667509	left	-4.5	1	1	2.3527307	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
31	0.5	4.5	33.8816144		33.8668914	33.8816144	34.3815644	34.3815644	34.3815644	34.6802856	36.4476447	right	4.5	0	0	2.0641017	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
32	0.5	5	36.4623841		36.4477862	36.4623841	36.961648	36.961648	36.961648	37.2616603	37.7630477	right	5	1	1	0.7890529	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
33	0.5	5	37.7781352		37.7634423	37.7781352	38.2779145	38.2779145	38.2779145	38.57798	39.2616581	left	-5	1	1	0.9695988	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
34	0.5	5	39.2768842		39.2618054	39.2768842	39.7765622	39.7765622	39.7765622	40.0761016	40.4606834	left	-5	1	1	0.6739814	899606	1	2024-09-12_23h00.22.499	adaptive_staircase	2024.2.1post4	60.05302682	2024-09-12 23h00.25.578378 +0530
