4.1279 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
4.3863 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451780>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC814517E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451990>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FC8145E200>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1280,  720]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3865 	EXP 	window1: backgroundImage = ''
4.3865 	EXP 	window1: backgroundFit = 'none'
4.3868 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.3869 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.3916 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.3926 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.4339 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.4340 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.4349 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.4355 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC81451660>
4.4602 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.4603 	EXP 	window1: recordFrameIntervals = False
4.6297 	EXP 	window1: recordFrameIntervals = True
4.8129 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
4.8129 	EXP 	window1: recordFrameIntervals = False
4.8131 	EXP 	window1: mouseVisible = False
7.1933 	INFO 	keyboard.Keyboard is using iohub backend.
7.1935 	INFO 	keyboard.Keyboard is using iohub backend.
7.1935 	EXP 	adaptive_staircase: status = STARTED
7.1937 	EXP 	window1: mouseVisible = False
7.1981 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
7.1982 	EXP 	window1: mouseVisible = False
7.2013 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0028 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0098 	EXP 	grating: ori = -10.0
0.0098 	EXP 	fixation: autoDraw = True
0.5102 	INFO 	Keyboard events cleared
0.5096 	EXP 	fixation: autoDraw = False
0.5096 	EXP 	grating: autoDraw = True
0.5096 	EXP 	grating: tex = 'sin'
0.8087 	EXP 	grating: autoDraw = False
1.9149 	DATA 	Keypress: left
1.9253 	EXP 	fixation: autoDraw = False
1.9253 	EXP 	grating: autoDraw = False
1.9253 	EXP 	grating: ori = -8.0
1.9253 	EXP 	fixation: autoDraw = True
2.4252 	INFO 	Keyboard events cleared
2.4246 	EXP 	grating: autoDraw = True
2.4409 	EXP 	fixation: autoDraw = False
2.7238 	EXP 	grating: autoDraw = False
2.8439 	DATA 	Keypress: left
2.8574 	EXP 	fixation: autoDraw = False
2.8574 	EXP 	grating: autoDraw = False
2.8574 	EXP 	grating: ori = -6.0
2.8574 	EXP 	fixation: autoDraw = True
3.3577 	INFO 	Keyboard events cleared
3.3570 	EXP 	fixation: autoDraw = False
3.3570 	EXP 	grating: autoDraw = True
3.6571 	EXP 	grating: autoDraw = False
3.7415 	DATA 	Keypress: left
3.7570 	EXP 	fixation: autoDraw = False
3.7570 	EXP 	grating: autoDraw = False
3.7570 	EXP 	grating: ori = -4.0
3.7570 	EXP 	fixation: autoDraw = True
4.2564 	INFO 	Keyboard events cleared
4.2559 	EXP 	grating: autoDraw = True
4.2730 	EXP 	fixation: autoDraw = False
4.5559 	EXP 	grating: autoDraw = False
4.6251 	DATA 	Keypress: left
4.6391 	EXP 	fixation: autoDraw = False
4.6391 	EXP 	grating: autoDraw = False
4.6391 	EXP 	grating: ori = 2.0
4.6391 	EXP 	fixation: autoDraw = True
5.1394 	INFO 	Keyboard events cleared
5.1387 	EXP 	fixation: autoDraw = False
5.1387 	EXP 	grating: autoDraw = True
5.4384 	EXP 	grating: autoDraw = False
5.5570 	DATA 	Keypress: right
5.5717 	EXP 	fixation: autoDraw = False
5.5717 	EXP 	grating: autoDraw = False
5.5717 	EXP 	grating: ori = 1.0
5.5717 	EXP 	fixation: autoDraw = True
